Model,Domain,Task,Organization,Authors,Publication date,Reference,Link,Citations,Notability criteria,Notability criteria notes,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset size (total),Dataset size notes,Training time (hours),Training time notes,Training hardware,Approach,Confidence,Abstract,Epochs,WikiText and Penn Treebank data,Model accessibility,Country (of organization),Base model,Finetune compute (FLOP),Finetune compute notes,Hardware quantity,Hardware utilization (MFU),Last modified,Training cloud compute vendor,Training data center,Archived links,Batch size,Batch size notes,Organization categorization,Foundation model,Training compute lower bound,Training compute upper bound,Training chip-hours,Training code accessibility,Accessibility notes,Possibly over 1e23 FLOP,Training compute cost (2023 USD),Utilization notes,Numerical format,Frontier model,Training power draw (W),Training compute estimation method,Hugging Face developer id,Post-training compute (FLOP),Post-training compute notes,Hardware utilization (HFU),Open model weights?
ESM1-670M (UR50/D),Biology,"Proteins,Protein or nucleotide language model (pLM/nLM)","Facebook AI Research,New York University (NYU)","Alexander Rives, Joshua Meier, Tom Sercu, Siddharth Goyal, Zeming Lin, Jason Liu, Demi Guo, Myle Ott, C. Lawrence Zitnick, Jerry Ma, and Rob Fergus",2020-08-31,Biological structure and function emerge from scaling unsupervised learning to 250 million protein sequences,https://www.pnas.org/doi/abs/10.1073/pnas.2016239118,2637.0,Highly cited,"""We apply the representations to a range of prediction tasks and find that they improve state-of-art features across the applications.""",669200000.0,See Table 1,4.8e+20,"Information: 
128 NVIDIA V100 GPUs [Pre-training details]
906k steps [See Table S2: Hyperparameters]
131,072 tokens per batch [""We trained with 131,072 tokens per batch (128 gpus x 1024 tokens)."" - Pre-training details]

Estimate:  906e3 updates * 3 * 131072 tokens/update * 2 * 669.2e6 parameters = 4.8e20 FLOP",33847900000," ""(iii) UR50/D, 124.9M UniRef50 cluster members sampled evenly by cluster""
As a rule of thumb, 200 amino acids per protein, so
124.9M * 200 = 24.98 billion

Epochs: 906k steps * 131,072 tokens/batch / 24.98B = 4.75 epochs",,"Training time details are given for the slightly smaller ESM1-b (650B):
""All models are trained with a target batch size of 1M tokens. To accommodate the large batch size, we use gradient accumulation and distributed data parallel. [...] Each epoch of a 650M parameter model completes in 8.5 hours on 64 GPUs""
Direct comparison is not quite possible, because this setup might use a different dataset, the ESM1-670M (UR50/D) run may not have used gradient checkpointing, etc.",NVIDIA V100,,Confident,"In the field of artificial intelligence, a combination of scale in data and model capacity enabled by unsupervised learning has led to major advances in representation learning and statistical generation. In the life sciences, the anticipated growth of sequencing promises unprecedented data on natural sequence diversity. Protein language modeling at the scale of evolution is a logical step toward predictive and generative artificial intelligence for biology. To this end, we use unsupervised learning to train a deep contextual language model on 86 billion amino acids across 250 million protein sequences spanning evolutionary diversity. The resulting model contains information about biological properties in its representations. The representations are learned from sequence data alone. The learned representation space has a multiscale organization
reflecting structure from the level of biochemical properties of amino acids to remote homology of proteins. Information about secondary and tertiary structure is encoded in the representations and can be identified by linear projections. Representation learning
produces features that generalize across a range of applications, enabling state-of-the-art supervised prediction of mutational effect and secondary structure and improving state-of-the-art features for long-range contact prediction.",3.51,,Open weights (unrestricted),"United States of America,France,United States of America",,,,128.0,,2026-02-11 19:26:27+00:00,,,,131072.0,,"Industry,Academia",,,,,Unreleased,"MIT. looks like inference code, not training code: https://github.com/facebookresearch/esm",,1054.8194995883428,,,,78182.09119198628,Operation counting,,,,,Yes
ESM1-670M (UR100),Biology,"Proteins,Protein or nucleotide language model (pLM/nLM)","Facebook AI Research,New York University (NYU)","Alexander Rives, Joshua Meier, Tom Sercu, Siddharth Goyal, Zeming Lin, Jason Liu, Demi Guo, Myle Ott, C. Lawrence Zitnick, Jerry Ma, and Rob Fergus",2020-08-31,Biological structure and function emerge from scaling unsupervised learning to 250 million protein sequences,https://www.pnas.org/doi/abs/10.1073/pnas.2016239118,2637.0,Highly cited,"""We apply the representations to a range of prediction tasks and find that they improve state-of-art features across the applications.""",669200000.0,See Table 1,1.4e+20,"Information: 
128 NVIDIA V100 GPUs [Pre-training details]
275k steps [See Table S2: Hyperparameters]
131,072 tokens per batch [""We trained with 131,072 tokens per batch (128 gpus x 1024 tokens)."" - Pre-training details]

Estimate:  275e3 updates * 3 * 131072 tokens/update * 2 * 669.2e6 parameters = 1.4e20 FLOP",127897600000,,,,NVIDIA V100,,Confident,"In the field of artificial intelligence, a combination of scale in data and model capacity enabled by unsupervised learning has led to major advances in representation learning and statistical generation. In the life sciences, the anticipated growth of sequencing promises unprecedented data on natural sequence diversity. Protein language modeling at the scale of evolution is a logical step toward predictive and generative artificial intelligence for biology. To this end, we use unsupervised learning to train a deep contextual language model on 86 billion amino acids across 250 million protein sequences spanning evolutionary diversity. The resulting model contains information about biological properties in its representations. The representations are learned from sequence data alone. The learned representation space has a multiscale organization
reflecting structure from the level of biochemical properties of amino acids to remote homology of proteins. Information about secondary and tertiary structure is encoded in the representations and can be identified by linear projections. Representation learning
produces features that generalize across a range of applications, enabling state-of-the-art supervised prediction of mutational effect and secondary structure and improving state-of-the-art features for long-range contact prediction.",0.3,,Open weights (unrestricted),"United States of America,France,United States of America",,,,128.0,,2026-02-11 19:26:27+00:00,,,,,,"Industry,Academia",,,,,Unreleased,MIT: https://github.com/facebookresearch/esm,,307.6556873799333,,,,78182.09119198628,Operation counting,,,,,Yes
ESM1-85M,Biology,"Proteins,Protein or nucleotide language model (pLM/nLM)","Facebook AI Research,New York University (NYU)","Alexander Rives, Joshua Meier, Tom Sercu, Siddharth Goyal, Zeming Lin, Jason Liu, Demi Guo, Myle Ott, C. Lawrence Zitnick, Jerry Ma, and Rob Fergus",2020-08-31,Biological structure and function emerge from scaling unsupervised learning to 250 million protein sequences,https://www.pnas.org/doi/abs/10.1073/pnas.2016239118,2637.0,Highly cited,"""We apply the representations to a range of prediction tasks and find that they improve state-of-art features across the applications.""",85100000.0,See Table 1,5.6e+19,"Information: 
128 NVIDIA V100 GPUs [Pre-training details]
840k steps [See Table S2: Hyperparameters]
131,072 tokens per batch [""We trained with 131,072 tokens per batch (128 gpus x 1024 tokens)."" - Pre-training details]

Estimate:  840e3 updates * 3 * 131072 tokens/update * 2 * 85.1e6 parameters = 5.6e19 FLOP",27750400000,,,,NVIDIA V100,,Confident,"In the field of artificial intelligence, a combination of scale in data and model capacity enabled by unsupervised learning has led to major advances in representation learning and statistical generation. In the life sciences, the anticipated growth of sequencing promises unprecedented data on natural sequence diversity. Protein language modeling at the scale of evolution is a logical step toward predictive and generative artificial intelligence for biology. To this end, we use unsupervised learning to train a deep contextual language model on 86 billion amino acids across 250 million protein sequences spanning evolutionary diversity. The resulting model contains information about biological properties in its representations. The representations are learned from sequence data alone. The learned representation space has a multiscale organization
reflecting structure from the level of biochemical properties of amino acids to remote homology of proteins. Information about secondary and tertiary structure is encoded in the representations and can be identified by linear projections. Representation learning
produces features that generalize across a range of applications, enabling state-of-the-art supervised prediction of mutational effect and secondary structure and improving state-of-the-art features for long-range contact prediction.",4.0,,Open weights (unrestricted),"United States of America,France,United States of America",,,,128.0,,2026-01-01 14:00:38+00:00,,,,,,"Industry,Academia",,,,,Unreleased,MIT: https://github.com/facebookresearch/esm,,123.06227495197334,,,,78182.09119198628,Operation counting,,,,,Yes
ESM1-43M,Biology,"Proteins,Protein or nucleotide language model (pLM/nLM)","Facebook AI Research,New York University (NYU)","Alexander Rives, Joshua Meier, Tom Sercu, Siddharth Goyal, Zeming Lin, Jason Liu, Demi Guo, Myle Ott, C. Lawrence Zitnick, Jerry Ma, and Rob Fergus",2020-08-31,Biological structure and function emerge from scaling unsupervised learning to 250 million protein sequences,https://www.pnas.org/doi/abs/10.1073/pnas.2016239118,2637.0,Highly cited,"""We apply the representations to a range of prediction tasks and find that they improve state-of-art features across the applications.""",42600000.0,See Table 1,2.8e+19,"Information: 
128 NVIDIA V100 GPUs [Pre-training details]
840k steps [See Table S2: Hyperparameters]
131,072 tokens per batch [""We trained with 131,072 tokens per batch (128 gpus x 1024 tokens)."" - Pre-training details]

Estimate:  840e3 updates * 3 * 131072 tokens/update * 2 * 42.6e6 parameters = 2.8e19 FLOP",27750400000,,,,NVIDIA V100,,Confident,"In the field of artificial intelligence, a combination of scale in data and model capacity enabled by unsupervised learning has led to major advances in representation learning and statistical generation. In the life sciences, the anticipated growth of sequencing promises unprecedented data on natural sequence diversity. Protein language modeling at the scale of evolution is a logical step toward predictive and generative artificial intelligence for biology. To this end, we use unsupervised learning to train a deep contextual language model on 86 billion amino acids across 250 million protein sequences spanning evolutionary diversity. The resulting model contains information about biological properties in its representations. The representations are learned from sequence data alone. The learned representation space has a multiscale organization
reflecting structure from the level of biochemical properties of amino acids to remote homology of proteins. Information about secondary and tertiary structure is encoded in the representations and can be identified by linear projections. Representation learning
produces features that generalize across a range of applications, enabling state-of-the-art supervised prediction of mutational effect and secondary structure and improving state-of-the-art features for long-range contact prediction.",4.0,,Open weights (unrestricted),"United States of America,France,United States of America",,,,128.0,,2026-01-01 14:00:37+00:00,,,,,,"Industry,Academia",,,,,Unreleased,MIT: https://github.com/facebookresearch/esm,,61.53113747598667,,,,78182.09119198628,Operation counting,,,,,Yes
GShard (dense),Language,Translation,Google,"Dmitry Lepikhin, HyoukJoong Lee, Yuanzhong Xu, Dehao Chen, Orhan Firat, Yanping Huang, Maxim Krikun, Noam Shazeer, Zhifeng Chen",2020-06-30,GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,https://arxiv.org/abs/2006.16668,1992.0,SOTA improvement,"""such a giant model can efficiently be trained on 2048 TPU v3 accelerators in 4 days to achieve far superior quality for translation from 100 languages to English compared to the prior art""

I don't see any standard benchmark that they claim SOTA on",2300000000.0,"""Our best quality dense single Transformer model (2.3B parameters) achieving ∆BLEU of 6.1, was trained with GPipe [15] on 2048 TPU v3 cores for 6 weeks or total of 235.5 TPU v3 core-years.""",4.765e+22,"Trained for a total of 235.5 TPU v3 core-years.
Hardware estimate: 235.5 * 365.25 * 24 * 3600 * (1.23e14 / 2) * 0.3 = 1.371e23

Footnote 10 indicates 300k steps and 4M tokens/step -> 1.2T tokens
Arithmetic estimate: 6 * 2.3B * 1.2T = 1.656e22 FLOPs

Geometric mean: sqrt(1.371e23 * 1.656e22) = 4.765e22",346666666667,"""We focus on improving the translation quality (measured in terms of BLEU score [48]) from all 100 languages to English. This resulted in approximately 13 billion training examples to be used for model training""

Each example is a sentence pair. Assuming 20 words per sentence and 4/3 tokens per word, that is 13*20*4/3 billion tokens",1008.0,6 weeks = 1008 hours,Google TPU v3,Self-supervised learning,Confident,"Neural network scaling has been critical for improving the model quality in many real-world machine learning applications with vast amounts of training data and compute. Although this trend of scaling is affirmed to be a sure-fire approach for better model quality, there are challenges on the path such as the computation cost, ease of programming, and efficient implementation on parallel devices. GShard is a module composed of a set of lightweight annotation APIs and an extension to the XLA compiler. It provides an elegant way to express a wide range of parallel computation patterns with minimal changes to the existing model code. GShard enabled us to scale up multilingual neural machine translation Transformer model with Sparsely-Gated Mixture-of-Experts beyond 600 billion parameters using automatic sharding. We demonstrate that such a giant model can efficiently be trained on 2048 TPU v3 accelerators in 4 days to achieve far superior quality for translation from 100 languages to English compared to the prior art.",,,Unreleased,United States of America,,,,1024.0,,2026-09-03 20:00:14+00:00,,,,4000000.0,"Table 3, bolded row is best model",Industry,,,,1032192.0,Open source,"training code is open, Apache: https://github.com/tensorflow/lingvo/tree/master/lingvo/tasks/lm",,266200.0315979732,"Trained for a total of 235.5 TPU v3 core-years.
Hardware: 235.5 * 365.25 * 24 * 3600 * (1.23e14 / 2) = 4.571e23 at full utilization

Footnote 10 indicates 300k steps and 4M tokens/step -> 1.2T tokens
6ND: 6 * 2.3B * 1.2T = 1.656e22 FLOPs

Implied utilization: 1.656e22 / 4.571e23 = 0.036
This seems implausibly low, but it's not clear where a mistake could have entered the calculation.",FP32,True,939481.3420790088,"Operation counting,Hardware",,,,,No
iGPT-XL,"Vision,Image generation",Image completion,OpenAI,"Mark Chen, Alec Radford, Rewon Child, Jeff Wu, Heewoo Jun, Prafulla Dhariwal, David Luan, Ilya Sutskever",2020-06-17,Generative Pretraining from Pixels,https://openai.com/research/image-gpt,1694.0,,,6801000000.0,source: https://openai.com/blog/image-gpt/#rfref53,3.3e+22,"Taken from here
https://www.lesswrong.com/posts/wfpdejMWog4vEDLDg/ai-and-compute-trend-isn-t-predictive-of-what-is-happening (""There's no compute data for the largest model, iGPT-XL. But based on the FLOP/s increase from GPT-3 XL (same num of params as iGPT-L) to GPT-3 6.7B (same num of params as iGPT-XL), I think it required 5 times more compute: 3.3 * 10^22 FLOP."")",4718592000,"""We use the ImageNet ILSVRC 2012 training dataset, splitting off 4% as our experimental validation set and report results on the ILSVRC 2012 validation set as our test set.""

https://image-net.org/challenges/LSVRC/2012/

""The goal of this competition is to estimate the content of photographs for the purpose of retrieval and automatic annotation using a subset of the large hand-labeled ImageNet dataset (10,000,000 labeled images depicting 10,000+ object categories) as training.""
",,,NVIDIA Tesla V100 DGXS 32 GB,Self-supervised learning,Likely,"Inspired by progress in unsupervised representation learning for natural language, we examine whether similar models can learn useful representations for images. We train a sequence Transformer to auto-regressively predict pixels, without incorporating knowledge of the 2D input structure. Despite training on low-resolution ImageNet without labels, we find that a GPT-2 scale model learns strong image representations as measured by linear probing, fine-tuning, and low-data classification. On CIFAR-10, we achieve 96.3% accuracy with a linear probe, outperforming a supervised Wide ResNet, and 99.0% accuracy with full finetuning, matching the top supervised pre-trained models. An even larger model trained on a mixture of ImageNet and web images is competitive with self-supervised benchmarks on ImageNet, achieving 72.0% top-1 accuracy on a linear probe of our features.",,,Open weights (unrestricted),United States of America,,,,,,2026-01-01 14:00:38+00:00,,,,,,Industry,,,,,Open source,"Modified MIT, code and weights:

https://github.com/openai/image-gpt?tab=License-1-ov-file#readme

train code: https://github.com/openai/image-gpt/blob/master/src/run.py ",,100796.41431883824,,,True,,Third-party estimation,,,,,Yes
iGPT-L,"Image generation,Vision",Image completion,OpenAI,"Mark Chen, Alec Radford, Rewon Child, Jeff Wu, Heewoo Jun, Prafulla Dhariwal, David Luan, Ilya Sutskever",2020-06-17,Generative Pretraining from Pixels,https://openai.com/blog/image-gpt/,1694.0,,,1362000000.0,source: https://openai.com/blog/image-gpt/#rfref53,8.91e+21,"We have that ""iGPT-L was trained for roughly 2500 V100-days"" [1]

I assume this is the NVIDIA Tesla V100 GPU. In the specifications, the NVIDIA Tesla V100 has 7 to 8.2 TFLOPS of peak double precision performance and 14 to 16.4 TFLOPS of peak single precision performance and 112 to 130 TFLOPS of peak tensor performance [2].

I suppose the one that makes sense using if peak tensor performance, for ~125 TFLOPS peak tensor performance more or less.
Following OpenAIs AI and compute we apply a 0.33 utitilization factor [3].

In total we get 2500 V100-days * (24*60*60) seconds/day * 125 TFLOPS * 0.33 = 8.91e+21 FLOPS = 89.1 PF-days.

[1] https://openai.com/blog/image-gpt/
[2] https://images.nvidia.com/content/technologies/volta/pdf/volta-v100-datasheet-update-us-1165301-r5.pdf
[3] https://openai.com/blog/ai-and-compute/",2654208000,"""We use the ImageNet ILSVRC 2012 training dataset, splitting off 4% as our experimental validation set and report results on the ILSVRC 2012 validation set as our test set.""

https://image-net.org/challenges/LSVRC/2012/

""The goal of this competition is to estimate the content of photographs for the purpose of retrieval and automatic annotation using a subset of the large hand-labeled ImageNet dataset (10,000,000 labeled images depicting 10,000+ object categories) as training.""
",,,NVIDIA Tesla V100 DGXS 32 GB,Self-supervised learning,Confident,"Inspired by progress in unsupervised representation learning for natural language, we examine whether similar models can learn useful representations for images. We train a sequence Transformer to auto-regressively predict pixels, without incorporating knowledge of the 2D input structure. Despite training on low-resolution ImageNet without labels, we find that a GPT-2 scale model learns strong image representations as measured by linear probing, fine-tuning, and low-data classification. On CIFAR-10, we achieve 96.3% accuracy with a linear probe, outperforming a supervised Wide ResNet, and 99.0% accuracy with full finetuning, matching the top supervised pre-trained models. An even larger model trained on a mixture of ImageNet and web images is competitive with self-supervised benchmarks on ImageNet, achieving 72.0% top-1 accuracy on a linear probe of our features.",,,Open weights (unrestricted),United States of America,,,,,,2026-01-01 14:00:36+00:00,,,,,,Industry,,,,60000.0,Open source,modified MIT: https://github.com/openai/image-gpt?tab=License-1-ov-file#readme,,30093.444683107013,,,,,Hardware,,,,,Yes
GPT-3 175B (davinci),Language,"Text autocompletion,Language modeling/generation",OpenAI,"Tom B. Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, Jared Kaplan, Prafulla Dhariwal, Arvind Neelakantan, Pranav Shyam, Girish Sastry, Amanda Askell, Sandhini Agarwal, Ariel Herbert-Voss, Gretchen Krueger, Tom Henighan, Rewon Child, Aditya Ramesh, Daniel M. Ziegler, Jeffrey Wu, Clemens Winter, Christopher Hesse, Mark Chen, Eric Sigler, Mateusz Litwin, Scott Gray, Benjamin Chess, Jack Clark, Christopher Berner, Sam McCandlish, Alec Radford, Ilya Sutskever, Dario Amodei",2020-05-28,Language Models are Few-Shot Learners,https://arxiv.org/abs/2005.14165,58240.0,"Highly cited,Training cost",,174600000000.0,"""we train GPT-3, an autoregressive language model with 175 billion parameters""
Rather, it's 174.6 billion.
Table D.1: 174,600 million parameters",3.14e+23,"Table D.1
https://arxiv.org/abs/2005.14165",238000000000,"From table 2.2, we determine that there are 410 + 19 + 12 + 55 + 3 = 499 billion tokens. 

We multiply this by 0.75 to give 374B words. 

3.74e11

========================
[Anson: I think the calculation below doesn't look at all the data, the CommonCrawl data only constitutes 60% of the data. Multiplying by 5/3 gives 4.75e11]

""The CommonCrawl data was downloaded from 41 shards of monthly CommonCrawl covering 2016 to 2019, constituting 45TB of compressed plaintext before filtering and 570GB after filtering, roughly equivalent to 400 billion byte-pair-encoded tokens. ""

Converted to words using 
http://extraconversion.com/data-storage/gigabits/gigabits-to-words.html

2.85e11",355.2,14.8 days according to https://arxiv.org/ftp/arxiv/papers/2104/2104.10350.pdf,NVIDIA Tesla V100 DGXS 32 GB,Self-supervised learning,Confident,"Recent work has demonstrated substantial gains on many NLP tasks and benchmarks by pre-training on a large corpus of text followed by fine-tuning on a specific task. While typically task-agnostic in architecture, this method still requires task-specific fine-tuning datasets of thousands or tens of thousands of examples. By contrast, humans can generally perform a new language task from only a few examples or from simple instructions - something which current NLP systems still largely struggle to do. Here we show that scaling up language models greatly improves task-agnostic, few-shot performance, sometimes even reaching competitiveness with prior state-of-the-art fine-tuning approaches. Specifically, we train GPT-3, an autoregressive language model with 175 billion parameters, 10x more than any previous non-sparse language model, and test its performance in the few-shot setting. For all tasks, GPT-3 is applied without any gradient updates or fine-tuning, with tasks and few-shot demonstrations specified purely via text interaction with the model. GPT-3 achieves strong performance on many NLP datasets, including translation, question-answering, and cloze tasks, as well as several tasks that require on-the-fly reasoning or domain adaptation, such as unscrambling words, using a novel word in a sentence, or performing 3-digit arithmetic. At the same time, we also identify some datasets where GPT-3's few-shot learning still struggles, as well as some datasets where GPT-3 faces methodological issues related to training on large web corpora. Finally, we find that GPT-3 can generate samples of news articles which human evaluators have difficulty distinguishing from articles written by humans. We discuss broader societal impacts of this finding and of GPT-3 in general.",0.6,GPT-3 175B (davinci),API access,United States of America,,,,10000.0,0.1966,2026-05-25 12:12:05+00:00,Microsoft,,,3200000.0,"3.2M, per table 2.1",Industry,True,,,3552000.0,Unreleased,"https://openai.com/blog/openai-api
",True,2116866.242839016,"See table 4 of the carbon emissions paper: https://arxiv.org/pdf/2104.10350

MFU calculation from total compute:
(6 FLOP/token/param * 174.6B params * 300B tokens) / (10k V100 * 125 TFLOPS/V100 * 14.8 days) = 0.1966
https://www.wolframalpha.com/input?i=%286*174.6+billion+*+300+billion%29+FLOP+%2F+%281250000+TFLOPS+*+14.8+days%29

HFU calculation from GPU throughput:
The paper reports 24.6 TFLOPS throughput per V100, and reports the V100 peak performance of 125 TFLOPS (which is correct if training was done in tensor 16-bit format).
HFU = 24.6/125 = 0.1968

These are suspiciously close, so it's likely they did not actually measure the GPU throughput, but estimated it from the total compute and the training duration. Therefore, let's leave HFU blank because the true value is uncertain.

MFU = 0.1966",,True,5100759.605963441,Reported,,,,,No
DETR,Vision,Object detection,Facebook,"Nicolas Carion, Francisco Massa, Gabriel Synnaeve, Nicolas Usunier, Alexander Kirillov, Sergey Zagoruyko",2020-05-26,End-to-End Object Detection with Transformers,https://arxiv.org/abs/2005.12872,18148.0,Highly cited,,60000000.0,60M per Table 1,4e+20,"""Training the baseline model for 300 epochs on 16 V100 GPUs takes 3 days, with 4 images per GPU (hence a total batch size of 64). For the longer schedule used to compare with Faster R-CNN we train for 500 epochs with learning rate drop after 400 epochs. This schedule adds 1.5 AP compared to the shorter schedule.""

48 V100-days for baseline DETR model. Larger model had 1.5x the params and 5/3 as many epochs, so required ~2.5x as much training compute.

125 teraflop/s * 2.5 * 48 * 24 * 3600 * 0.3 (assumed utilization) ~ 4e20",826000,,,,NVIDIA V100,Supervised,Confident,"Abstract. We present a new method that views object detection as a
direct set prediction problem. Our approach streamlines the detection
pipeline, effectively removing the need for many hand-designed components like a non-maximum suppression procedure or anchor generation
that explicitly encode our prior knowledge about the task. The main
ingredients of the new framework, called DEtection TRansformer or
DETR, are a set-based global loss that forces unique predictions via bipartite matching, and a transformer encoder-decoder architecture. Given
a fixed small set of learned object queries, DETR reasons about the relations of the objects and the global image context to directly output
the final set of predictions in parallel. The new model is conceptually
simple and does not require a specialized library, unlike many other
modern detectors. DETR demonstrates accuracy and run-time performance on par with the well-established and highly-optimized Faster RCNN baseline on the challenging COCO object detection dataset. Moreover, DETR can be easily generalized to produce panoptic segmentation
in a unified manner. We show that it significantly outperforms competitive baselines. Training code and pretrained models are available at
https://github.com/facebookresearch/detr.",500.0,,Open weights (unrestricted),United States of America,,,,,,2026-05-25 12:12:06+00:00,,,,64.0,,Industry,,,,,Open source,Apache 2.0: https://github.com/facebookresearch/detr,,959.9097627206426,,,,,Hardware,,,,,Yes
UnifiedQA,Language,Question answering,"Allen Institute for AI,University of Washington","Daniel Khashabi, Sewon Min, Tushar Khot, Ashish Sabharwal, Oyvind Tafjord, Peter Clark, Hannaneh Hajishirzi",2020-05-02,UnifiedQA: Crossing Format Boundaries With a Single QA System,https://arxiv.org/abs/2005.00700v3,816.0,SOTA improvement,"Table 5
""We then introduce UNIFIEDQA (§3.2) that is a QA system trained on datasets in multiple formats, indicating new state-of-the-art results on 10 datasets and generalization to unseen datasets.""",11000000000.0,"11B from appendix A.2 : Model sizes: ""Most of the experiments are done on T5(11B) which has 11 billion parameters. We also report experiments with BART (large) with 440 million parameters.""",1.65e+19,"A.2: ""In the experiments, we use v3-8 TPUs for T5 models... pretraining UNIFIEDQA approximately takes about 36 hours on T5(11B)""
(Note that v3-8 refers to 8 TPUv3 cores, or 4 TPUv3 chips. From the JAX github repo: ""In a TPU v3-8 you have 4 chips, 2 cores per chip, and each core has 16GB of HBM. So this looks to JAX like 8 devices with 16GB each."")

4 * 1.23e14 * 36 * 3600 * 0.3 = 1.91e19

Alternatively, input (ouput) size of 512 (100) tokens, batch size of 8, trained for 100k steps. Input tokens only need the forward pass.
((2 * 11B * 512 * 8) + (6 * 11B * 100 * 8)) * 100k = 1.43e19

Took geometric mean of these estimates:
sqrt(1.91e19*1.43e19) = 1.65e19",,"Table 2:
SQuAD 1.1: 87k examples, avg total length of 136.2 + 3.0
SQuAD 2.0: 130k examples, avg total length of 139.9 + 2.6
NarrativeQA: 65k examples, avg total length of 563.6 + 6.2
RACE: 87k examples, avg total length of 317.9 + 6.9
ARC (easy): 2k examples, avg total length of 39.4 + 3.7
ARC (hard): 1k examples, avg total length of  47.4 + 5.0
OBQA: 4k examples, avg total length of 28.7 + 3.6
MCTest: 1.4k examples, avg total length of 245.4 + 4.0
BoolQ: 9k examples, avg total length of 105.1 + 1.0

Total tokens: 97,309,860",36.0,"Appendix A.2: ""pretraining UNIFIEDQA approximately takes about 36 and 55 hours, on T5(11B) and BART models, respectively.""",Google TPU v3,,Confident,"Question answering (QA) tasks have been posed using a variety of formats, such as extractive span selection, multiple choice, etc. This has led to format-specialized models, and even to an implicit division in the QA community. We argue that such boundaries are artificial and perhaps unnecessary, given the reasoning abilities we seek to teach are not governed by the format. As evidence, we use the latest advances in language modeling to build a single pre-trained QA model, UnifiedQA, that performs surprisingly well across 17 QA datasets spanning 4 diverse formats. UnifiedQA performs on par with 9 different models that were trained on individual datasets themselves. Even when faced with 12 unseen datasets of observed formats, UnifiedQA performs surprisingly well, showing strong generalization from its out-of-format training data. Finally, simply fine-tuning this pre-trained QA model into specialized models results in a new state of the art on 6 datasets, establishing UnifiedQA as a strong starting point for building QA systems.",1.88,,Open weights (unrestricted),"United States of America,United States of America",T5-11B,3.8e+19,"""• Infrastructure: In the experiments, we use v3-8 TPUs for T5 models, and eight 32GB GPUs for
BART models.
• Time spent to build UNIFIEDQA: pretraining UNIFIEDQA approximately takes about 36 and 55
hours, on T5(11B) and BART models, respectively.""

8 * 123 TFLOPS * 36 * 3600 * 0.3 (utilization assumption) = 3.8e19",8.0,,2026-05-25 12:12:06+00:00,,,,27.0,,"Research collective,Academia",,,,,Open source,"Apache 2.0 license, includes models and training code: https://github.com/allenai/unifiedqa",,59.12208690735248,,,,7349.34790019072,"Operation counting,Hardware",allenai,,,,Yes
Once for All,Vision,Image classification,"MIT-IBM Watson AI Lab,Massachusetts Institute of Technology (MIT),IBM","Han Cai, Chuang Gan, Tianzhe Wang, Zhekai Zhang, and Song Han",2020-04-29,Once for all: Train one network and specialize it for efficient deployment.,https://arxiv.org/abs/1908.09791,1536.0,SOTA improvement,"""In particular, OFA achieves a new SOTA 80.0% ImageNet top-1 accuracy under the mobile setting""",7700000.0,"""Since
all of these sub-networks share the same weights (i.e., Wo) (Cheung et al., 2019), we only require
7.7M parameters to store all of them. Without sharing, the total model size will be prohibitive""",6.237e+20,"4.2k V100-hours (table 1)
0.33 utilization rate
V100 FP16 Tensor FLOPs: 125000000000000

4200 hours*60*60* 125000000000000 FLOP/s *0.33 utilization =623700000000000000000
",1280000,,,,NVIDIA V100,,Confident,"We address the challenging problem of efficient inference across many devices and resource constraints, especially on edge devices. Conventional approaches either manually design or use neural architecture search (NAS) to find a specialized neural network and train it from scratch for each case, which is computationally prohibitive (causing CO2 emission as much as 5 cars' lifetime) thus unscalable. In this work, we propose to train a once-for-all (OFA) network that supports diverse architectural settings by decoupling training and search, to reduce the cost. We can quickly get a specialized sub-network by selecting from the OFA network without additional training. To efficiently train OFA networks, we also propose a novel progressive shrinking algorithm, a generalized pruning method that reduces the model size across many more dimensions than pruning (depth, width, kernel size, and resolution). It can obtain a surprisingly large number of sub-networks (>1019) that can fit different hardware platforms and latency constraints while maintaining the same level of accuracy as training independently. On diverse edge devices, OFA consistently outperforms state-of-the-art (SOTA) NAS methods (up to 4.0% ImageNet top1 accuracy improvement over MobileNetV3, or same accuracy but 1.5x faster than MobileNetV3, 2.6x faster than EfficientNet w.r.t measured latency) while reducing many orders of magnitude GPU hours and CO2 emission. In particular, OFA achieves a new SOTA 80.0% ImageNet top-1 accuracy under the mobile setting (<600M MACs). OFA is the winning solution for the 3rd Low Power Computer Vision Challenge (LPCVC), DSP classification track and the 4th LPCVC, both classification track and detection track. Code and 50 pre-trained models (for many devices & many latency constraints) are released at this https URL.",180.0,,Open weights (unrestricted),"United States of America,United States of America,United States of America",,,,,,2026-05-25 12:12:05+00:00,Amazon Web Services,,,,,"Academia,Industry,Academia,Industry",,,,4200.0,Open source,"MIT license: https://github.com/mit-han-lab/once-for-all

repo contains inference and training code. models available via library",,1753.9255676777682,,FP32,,,Hardware,,,,,Yes
